DR%,SM%,WV%,OVERALL %,Trans_Acadmode,Trans_Sex,Trans_Age,Trans_Programming_Score
53.84615385,52,29.16666667,45,0,0,40,1
69.23076923,72,50.0,64,0,0,32,1
76.92307692,84,33.33333333,65,0,0,31,1
38.46153846,56,41.66666667,45,0,0,23,0
92.30769231,64,79.16666667,78,0,0,28,0
30.76923077,60,29.16666667,40,0,0,24,1
84.61538462,40,33.33333333,53,0,0,27,1
69.23076923,60,41.66666667,57,0,0,30,0
15.38461538,64,41.66666667,40,0,0,24,1
61.53846154,64,66.66666667,64,0,0,25,0
61.53846154,76,33.33333333,57,0,0,27,0
76.92307692,56,25.0,53,0,0,27,1
61.53846154,40,41.66666667,48,0,0,25,0
38.46153846,68,37.5,48,0,0,24,1
61.53846154,60,41.66666667,54,0,1,23,0
46.15384615,72,29.16666667,49,0,0,28,1
61.53846154,68,62.5,64,0,1,24,0
53.84615385,52,25.0,44,0,1,26,0
69.23076923,52,37.5,53,0,0,26,0
76.92307692,56,20.83333333,51,0,0,27,0
100.0,72,58.33333333,77,0,0,23,0
38.46153846,68,54.16666667,54,0,0,25,0
30.76923077,68,45.83333333,48,0,0,44,0
100.0,68,50.0,73,0,0,26,1
84.61538462,84,37.5,69,0,1,24,1
84.61538462,60,66.66666667,70,0,0,23,1
61.53846154,48,45.83333333,52,0,0,24,0
69.23076923,56,20.83333333,49,0,1,24,1
76.92307692,60,41.66666667,60,0,0,25,0
76.92307692,48,25.0,50,0,0,24,1
38.46153846,60,41.66666667,47,0,1,25,0
84.61538462,84,41.66666667,70,0,0,26,0
53.84615385,48,25.0,42,0,0,26,1
92.30769231,76,50.0,73,0,0,23,1
30.76923077,68,41.66666667,47,0,0,51,1
53.84615385,64,29.16666667,49,0,0,25,1
30.76923077,68,45.83333333,48,0,1,37,0
53.84615385,72,54.16666667,60,0,1,23,1
46.15384615,60,33.33333333,46,0,0,28,0
84.61538462,40,45.83333333,57,0,0,25,1
69.23076923,56,45.83333333,57,0,0,43,1
46.15384615,72,29.16666667,49,0,1,24,0
69.23076923,60,45.83333333,58,0,0,25,0
30.76923077,64,62.5,52,0,0,26,0
69.23076923,56,33.33333333,53,0,0,42,0
84.61538462,72,50.0,69,0,1,24,1
84.61538462,56,62.5,68,0,1,25,1
61.53846154,52,33.33333333,49,0,0,27,1
84.61538462,60,50.0,65,0,1,24,0
69.23076923,76,50.0,65,0,1,24,0
76.92307692,56,45.83333333,60,0,0,25,0
76.92307692,76,58.33333333,70,0,0,29,1
53.84615385,68,41.66666667,55,0,0,24,0
84.61538462,56,29.16666667,57,0,1,26,1
61.53846154,72,62.5,65,0,0,24,0
30.76923077,64,25.0,40,0,0,30,1
46.15384615,72,41.66666667,53,0,1,35,0
15.38461538,60,45.83333333,40,0,1,40,0
84.61538462,72,25.0,61,0,0,34,1
61.53846154,76,29.16666667,56,0,0,28,0
61.53846154,64,29.16666667,52,0,0,27,0
38.46153846,64,45.83333333,49,0,0,26,0
84.61538462,64,58.33333333,69,0,1,25,0
38.46153846,60,25.0,41,0,0,26,0
92.30769231,60,45.83333333,66,0,0,23,0
30.76923077,68,25.0,41,0,0,28,0
69.23076923,64,25.0,53,0,0,29,0
61.53846154,40,29.16666667,44,0,0,29,1
38.46153846,60,50.0,49,0,0,30,0
30.76923077,52,62.5,48,0,0,31,0
76.92307692,56,50.0,61,0,0,51,0
69.23076923,72,37.5,60,0,0,25,0
53.84615385,52,20.83333333,42,0,0,26,0
69.23076923,72,29.16666667,57,0,0,32,1
69.23076923,64,41.66666667,58,0,0,29,0
76.92307692,92,62.5,77,0,1,27,0
61.53846154,76,45.83333333,61,0,0,24,1
76.92307692,56,41.66666667,58,0,0,27,0
53.84615385,56,25.0,45,0,0,23,0
53.84615385,32,41.66666667,43,0,0,25,1
46.15384615,56,25.0,42,0,0,31,1
53.84615385,72,29.16666667,52,0,1,23,0
46.15384615,56,41.66666667,48,0,0,25,0
69.23076923,52,20.83333333,47,0,1,29,1
53.84615385,48,25.0,42,0,1,23,0
38.46153846,68,66.66666667,58,0,0,33,1
38.46153846,64,25.0,42,0,0,35,0
69.23076923,68,58.33333333,65,0,0,23,1
84.61538462,64,37.5,62,0,1,29,0
23.07692308,48,25.0,32,0,0,23,1
61.53846154,68,62.5,64,0,0,31,1
53.84615385,64,37.5,52,0,0,29,0
84.61538462,80,25.0,63,0,1,22,0
69.23076923,56,50.0,58,0,1,23,0
84.61538462,60,29.16666667,58,0,0,26,0
61.53846154,60,41.66666667,54,0,0,47,1
84.61538462,72,37.5,65,0,0,24,1
69.23076923,68,41.66666667,60,0,0,25,1
84.61538462,96,66.66666667,82,0,0,23,1
76.92307692,52,45.83333333,58,0,0,28,0
84.61538462,72,33.33333333,63,0,1,28,0
76.92307692,60,45.83333333,61,0,0,27,0
30.76923077,44,45.83333333,40,0,0,26,1
92.30769231,76,58.33333333,76,0,1,28,1
76.92307692,80,41.66666667,66,0,1,25,1
38.46153846,36,25.0,33,0,1,41,0
69.23076923,64,50.0,61,0,0,24,1
84.61538462,80,41.66666667,69,0,0,22,0
53.84615385,40,41.66666667,45,0,0,34,1
53.84615385,56,29.16666667,46,0,0,36,0
100.0,64,33.33333333,66,0,0,29,0
69.23076923,72,58.33333333,67,0,0,30,1
53.84615385,52,50.0,52,0,1,32,0
76.92307692,68,25.0,57,0,0,42,1
76.92307692,48,29.16666667,51,0,0,26,0
84.61538462,84,66.66666667,78,0,0,29,1
53.84615385,72,29.16666667,52,0,0,33,1
100.0,52,33.33333333,62,0,1,23,0
53.84615385,60,33.33333333,49,0,1,26,1
53.84615385,44,29.16666667,42,0,0,24,0
84.61538462,80,41.66666667,69,0,0,25,1
92.30769231,68,50.0,70,0,0,27,1
76.92307692,84,58.33333333,73,0,0,27,0
61.53846154,44,58.33333333,55,0,0,27,0
46.15384615,60,50.0,52,0,1,25,1
38.46153846,72,29.16666667,47,0,1,45,0
53.84615385,44,29.16666667,42,0,0,24,0
84.61538462,76,41.66666667,67,0,0,28,1
84.61538462,68,41.66666667,65,0,0,25,1
46.15384615,64,54.16666667,55,0,0,26,1
92.30769231,88,50.0,77,0,0,25,0
53.84615385,60,29.16666667,48,0,1,24,0
69.23076923,60,54.16666667,61,0,0,29,1
61.53846154,60,50.0,57,0,0,24,0
76.92307692,76,25.0,59,0,0,23,1
30.76923077,76,33.33333333,47,0,0,23,0
84.61538462,84,50.0,73,0,0,24,0
84.61538462,100,62.5,82,0,1,23,0
38.46153846,60,41.66666667,47,0,1,25,1
53.84615385,84,75.0,71,0,0,24,1
53.84615385,52,25.0,44,0,0,26,0
92.30769231,64,45.83333333,67,0,0,30,1
38.46153846,40,54.16666667,44,0,0,29,0
92.30769231,76,45.83333333,71,0,1,23,1
61.53846154,60,33.33333333,52,0,0,33,1
61.53846154,44,20.83333333,42,0,0,26,0
69.23076923,72,54.16666667,65,0,0,25,0
61.53846154,68,41.66666667,57,0,0,27,1
69.23076923,68,50.0,62,0,0,33,1
76.92307692,52,33.33333333,54,0,0,24,0
69.23076923,64,37.5,57,0,1,24,0
69.23076923,60,29.16666667,53,0,1,50,0
84.61538462,64,12.5,54,0,0,28,1
76.92307692,84,33.33333333,65,0,0,25,1
38.46153846,48,33.33333333,40,0,0,25,0
38.46153846,80,37.5,52,0,0,41,0
53.84615385,92,41.66666667,63,0,1,40,0
53.84615385,60,37.5,50,0,0,24,1
46.15384615,64,41.66666667,51,0,0,32,0
100.0,56,33.33333333,63,0,0,22,0
61.53846154,56,12.5,43,0,0,29,1
61.53846154,64,20.83333333,49,0,0,28,0
53.84615385,48,58.33333333,53,0,0,30,0
69.23076923,40,54.16666667,54,0,0,29,0
30.76923077,72,33.33333333,45,0,1,23,0
84.61538462,76,41.66666667,67,0,0,31,1
84.61538462,76,41.66666667,67,0,0,31,1
76.92307692,44,12.5,44,1,0,30,1
53.84615385,60,37.5,50,1,0,35,1
76.92307692,40,29.16666667,49,1,0,29,1
69.23076923,60,25.0,51,1,0,52,1
30.76923077,28,70.83333333,43,1,0,28,0
38.46153846,40,54.16666667,44,1,0,44,1
